ITEM_ID,SKU,TITLE,QUANTITY,CHANNEL,MARKETPLACE_PRICE,MSHOPS_PRICE,MSHOPS_PRICE_SYNC,CURRENCY_ID,DESCRIPTION,SHIPPING_METHOD_MARKETPLACE,SHIPPING_METHOD_MSHOPS,LISTING_TYPE,FEE_PER_SALE_MARKETPLACE,FEE_PER_SALE_MSHOPS,STATUS,CATEGORY,CATEGORY_ID,ITEM_LINK,URL,IMG
MLB5180301908,030-2411-0001,Hori Monitor Gamer Portátil  - Black,1,Mercado Livre e Mercado Shops,1800,1600,No Vincular,R$,"Sony Portable Gaming Monitor - Compatível com PlayStation 4 (PS4)

Monitor portátil licenciado pela Sony, projetado para uso com o PlayStation 4. Ideal para jogadores que buscam portabilidade e praticidade, oferece alta qualidade de imagem e compatibilidade com o console PS4.

Inclui:
- Monitor portátil para PlayStation 4
- Cabos de conexão necessários

Condição: Apresenta Desgastes visíveis

- As imagens fornecidas são reais e detalham a condição do produto.
- Suporte completo ao cliente, garantindo uma transação segura e transparente.",Mercado Envios por conta do comprador,Envios por conta própria,Clássico,,,Ativo,Monitores de computadores,,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=5180301908,https://www.collectorsguardian.com.br/MLB-5180301908-hori-monitor-gamer-portátil----black-_JM#item_id=MLB5180301908,https://http2.mlstatic.com/D_NQ_NP_838123-MLB80489333714_112024-O.jpg
MLB3909987647,029-2411-0005,Gustavo Santaolalla  The Last Of Us (original Soundtrack),1,Mercado Livre e Mercado Shops,900,800,No Vincular,R$,"Gustavo Santaolalla – The Last Of Us (Original Soundtrack) 2LP Coloured Vinyl

Trilha sonora original de *The Last Of Us*, composta por Gustavo Santaolalla, em vinil colorido duplo (2LP). Uma edição especial que captura a atmosfera emocional do jogo em um formato colecionável.

Inclui:
- 2 vinis coloridos com a trilha sonora completa de *The Last Of Us*
- Embalagem original temática

Condição: Produto em excelente estado.

- As imagens fornecidas são reais e detalham a condição do produto.
- Suporte completo ao cliente, garantindo uma transação segura e transparente.",Mercado Envios por conta do comprador,Mercado Envios por conta do comprador,Clássico,,,Inativo,Álbuns de música,,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=3909987647,https://www.collectorsguardian.com.br/MLB-3909987647-gustavo-santaolalla--the-last-of-us-(original-soundtrack)-_JM#item_id=MLB3909987647,https://http2.mlstatic.com/D_NQ_NP_953285-MLB80489403312_112024-O.jpg
MLB3870608805,029-2410-0001,Nintendo 64 Ac Power Adapter - Original Japão,1,Mercado Livre e Mercado Shops,235,180,No Vincular,R$,"Nintendo 64 AC Power Adapter – Original JP (Acessório)

Fonte de alimentação original para o console Nintendo 64, versão japonesa. Essencial para garantir o funcionamento do console.

Detalhes:
- Condição: Usado, em bom estado.

Imagens reais do produto disponíveis para avaliação.",Mercado Envios por conta do comprador,Mercado Envios por conta do comprador,Clássico,,,Ativo,Fontes de alimentação para consoles de videogames,029,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=3870608805,https://www.collectorsguardian.com.br/MLB-3870608805-nintendo-64-ac-power-adapter---original-japão-_JM#item_id=MLB3870608805,https://http2.mlstatic.com/D_NQ_NP_651779-MLB79991288133_102024-O.jpg
MLB3870649809,028-2410-0001,Memory Card Para 8 Mb Magicgate Para Ps2 - Original,0,Mercado Livre e Mercado Shops,120,90,No Vincular,R$,"Memory Card 8 MB Magicgate – PS2 (Acessório Original, Cor Preto)

Memory card original para PlayStation 2, com capacidade de 8 MB, cor azul. Essencial para salvar o progresso de jogos no console.

Detalhes:
- Condição: Usado, em bom estado.

Imagens reais do produto disponíveis para avaliação.

Condições de Compra:
- Frete grátis para todo o Brasil.
- Parcelamento em até 12 vezes sem juros no cartão comum ou 18 vezes pelo Mercado Pago.
- Suporte completo ao cliente.

Descontos para pagamentos à vista. Consulte nosso catálogo para outras opções.",Mercado Envios por conta do comprador,Mercado Envios por conta do comprador,Clássico,,,Inativo,Cartões de memória,028,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=3870649809,https://www.collectorsguardian.com.br/MLB-3870649809-memory-card-para-8-mb-magicgate-para-ps2---original-_JM#item_id=MLB3870649809,https://http2.mlstatic.com/D_NQ_NP_715887-MLB80009661171_102024-O.jpg
MLB5178982384,027-2411-0001,Bolsa Portatil Para Nintendo Ds Lite Oficial Nintendo Japao,0,Mercado Livre e Mercado Shops,150,120,No Vincular,R$,"Bolsa Portátil para Nintendo DS Lite

Bolsa portátil projetada para transportar e proteger o Nintendo DS Lite. Compacta e resistente, é ideal para manter seu console seguro durante viagens ou no dia a dia.

Inclui:
- Bolsa portátil para Nintendo DS Lite

Condição: Produto em excelente estado, não utilizado.

- As imagens fornecidas são reais e detalham a condição do produto.
- Suporte completo ao cliente, garantindo uma transação segura e transparente.",Mercado Envios por conta do comprador,Mercado Envios por conta do comprador,Clássico,,,Inativo,Capas e estojos para consoles de videogames,027,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=5178982384,https://www.collectorsguardian.com.br/MLB-5178982384-bolsa-portatil-para-nintendo-ds-lite-oficial-nintendo-japao-_JM#item_id=MLB5178982384,https://http2.mlstatic.com/D_NQ_NP_929942-MLB80456959880_112024-O.jpg
MLB3870643473,027-2410-0002,Case Nintendo Switch - Original Nintendo Jp (usado),0,Mercado Livre e Mercado Shops,75,65,No Vincular,R$,"Case Nintendo Switch – Original Nintendo JP (Usado)

Case original da Nintendo para o console Nintendo Switch, versão japonesa. Feito para proteger o console e oferecer praticidade durante o transporte.

Detalhes:
- Condição: Usado, em bom estado.

Imagens reais do produto disponíveis para avaliação.

Condições de Compra:
- Frete grátis para todo o Brasil.
- Parcelamento em até 12 vezes sem juros no cartão comum ou 18 vezes pelo Mercado Pago.
- Suporte completo ao cliente.

Descontos para pagamentos à vista. Consulte nosso catálogo para outras opções.",Mercado Envios por conta do comprador,Mercado Envios por conta do comprador,Clássico,,,Inativo,Capas e estojos para consoles de videogames,027,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=3870643473,https://www.collectorsguardian.com.br/MLB-3870643473-case-nintendo-switch---original-nintendo-jp-(usado)-_JM#item_id=MLB3870643473,https://http2.mlstatic.com/D_NQ_NP_912470-MLB79991111655_102024-O.jpg
MLB3870555425,027-2410-0001,Case Nintendo Switch - Original Nintendo (usado),1,Mercado Livre e Mercado Shops,70,60,No Vincular,R$,"Case Nintendo Switch – Original Nintendo (Usado)

Case original para Nintendo Switch, projetado para proteger o console durante transporte. Produto de qualidade oficial da Nintendo.

Detalhes:
- Condição: Usado, em bom estado.

Imagens reais do produto disponíveis para avaliação.

Condições de Compra:
- Frete grátis para todo o Brasil.
- Parcelamento em até 12 vezes sem juros no cartão comum ou 18 vezes pelo Mercado Pago.
- Suporte completo ao cliente.

Descontos para pagamentos à vista. Consulte nosso catálogo para outras opções.",Mercado Envios por conta do comprador,Mercado Envios por conta do comprador,Clássico,,,Inativo,Capas e estojos para consoles de videogames,027,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=3870555425,https://www.collectorsguardian.com.br/MLB-3870555425-case-nintendo-switch---original-nintendo-(usado)-_JM#item_id=MLB3870555425,https://http2.mlstatic.com/D_NQ_NP_920650-MLB80622090492_112024-O.jpg
MLB5105365254,026-2410-0001,A Plague Tale: Requiem - Vinil 2xlp,1,Mercado Shops,800,750,No Vincular,R$,"A Plague Tale: Requiem – Vinil 2xLP (Trilha Sonora)

Vinil duplo (2xLP) da trilha sonora original de ""A Plague Tale: Requiem"". Uma edição especial para colecionadores e fãs do jogo, com músicas envolventes em formato clássico.

Detalhes:
- Condição: Novo/Usado (detalhes conforme estado atual).

Imagens reais do produto disponíveis para avaliação.

Condições de Compra:
- Frete grátis para todo o Brasil.
- Parcelamento em até 12 vezes sem juros no cartão comum ou 18 vezes pelo Mercado Pago.
- Suporte completo ao cliente.

Descontos para pagamentos à vista. Consulte nosso catálogo para outras opções.",Mercado Envios grátis,Mercado Envios grátis,Premium,,,Ativo,Álbuns de música antigos,026,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=5105365254,https://www.collectorsguardian.com.br/MLB-5105365254-a-plague-tale:-requiem---vinil-2xlp-_JM#item_id=MLB5105365254,https://http2.mlstatic.com/D_NQ_NP_709860-MLB80622063324_112024-O.jpg
MLB5180312474,025-2411-0001,Copo De Vidro -  Kingdom Hearts 20th Anniversary,2,Mercado Livre e Mercado Shops,310,270,No Vincular,R$,"Copo de Vidro - Kingdom Hearts 20th Anniversary

Copo de vidro comemorativo do 20º aniversário de *Kingdom Hearts*. Design exclusivo com detalhes inspirados na franquia.

Inclui:
- 1 copo de vidro temático do 20º aniversário de *Kingdom Hearts*

Condição: Produto em excelente estado, não utilizado.

- As imagens fornecidas são reais e detalham a condição do produto.
- Suporte completo ao cliente, garantindo uma transação segura e transparente.",Mercado Envios grátis,Mercado Envios grátis,Clássico,,,Ativo,Copos e taças,025,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=5180312474,https://www.collectorsguardian.com.br/MLB-5180312474-copo-de-vidro----kingdom-hearts-20th-anniversary-_JM#item_id=MLB5180312474,https://http2.mlstatic.com/D_NQ_NP_704608-MLB80489528442_112024-O.jpg
MLB5105375600,025-2410-0001,Kit Copos One Piece - Oficial Importado Do Japão,0,Mercado Livre e Mercado Shops,65,50,No Vincular,R$,"Kit Copos One Piece – Oficial Importado do Japão

Conjunto de copos temáticos de One Piece, importado diretamente do Japão. Produto oficial da franquia, perfeito para fãs e colecionadores.

Detalhes:
- Condição: Novo ou usado em bom estado (detalhes específicos conforme a condição atual).

Imagens reais do produto disponíveis para avaliação.",Mercado Envios por conta do comprador,Mercado Envios grátis,Clássico,,,Inativo,Copos e taças,025,https://www.mercadolivre.com.br/anuncios/lista?filters=OMNI_ACTIVE|OMNI_INACTIVE|CHANNEL_NO_PROXIMITY_AND_NO_MP_MERCHANTS&page=1&search=5105375600,https://www.collectorsguardian.com.br/MLB-5105375600-kit-copos-one-piece---oficial-importado-do-japão-_JM#item_id=MLB5105375600,https://http2.mlstatic.com/D_NQ_NP_830355-MLB79802718111_102024-O.jpg
